id,countryId,name,hasTransfers,hasActivities,photos
57,73,Seville,True,True,"{'header': [{'caption': 'Seville', 'paths': {'original': 'https://cdn2.civitatis.com/espana/sevilla/sevilla.jpg', 'thumbnail': 'https://cdn2.civitatis.com/espana/sevilla/sevilla-m.jpg', 'top': 'https://cdn2.civitatis.com/espana/sevilla/sevilla-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/espana/sevilla/sevilla-top-m.jpg'}}]}"
58,24,Ghent,False,True,"{'header': [{'caption': 'Ghent', 'paths': {'original': 'https://cdn2.civitatis.com/belgica/gante/gante.jpg', 'thumbnail': 'https://cdn2.civitatis.com/belgica/gante/gante-m.jpg', 'top': 'https://cdn2.civitatis.com/belgica/gante/gante-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/belgica/gante/gante-top-m.jpg'}}]}"
61,112,Civitavecchia,False,True,"{'header': [{'caption': 'Civitavecchia', 'paths': {'original': 'https://cdn2.civitatis.com/italia/civitavecchia/civitavecchia.jpg', 'thumbnail': 'https://cdn2.civitatis.com/italia/civitavecchia/civitavecchia-m.jpg', 'top': 'https://cdn2.civitatis.com/italia/civitavecchia/civitavecchia-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/italia/civitavecchia/civitavecchia-top-m.jpg'}}]}"
62,13,Puerto Iguazú,True,True,"{'header': [{'caption': 'Puerto Iguazú', 'paths': {'original': 'https://cdn2.civitatis.com/argentina/puerto-iguazu/puerto-iguazu.jpg', 'thumbnail': 'https://cdn2.civitatis.com/argentina/puerto-iguazu/puerto-iguazu-m.jpg', 'top': 'https://cdn2.civitatis.com/argentina/puerto-iguazu/puerto-iguazu-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/argentina/puerto-iguazu/puerto-iguazu-top-m.jpg'}}]}"
63,13,El Calafate,True,True,"{'header': [{'caption': 'El Calafate', 'paths': {'original': 'https://cdn2.civitatis.com/argentina/el-calafate/el-calafate.jpg', 'thumbnail': 'https://cdn2.civitatis.com/argentina/el-calafate/el-calafate-m.jpg', 'top': 'https://cdn2.civitatis.com/argentina/el-calafate/el-calafate-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/argentina/el-calafate/el-calafate-top-m.jpg'}}]}"
64,114,Kyoto,True,True,"{'header': [{'caption': 'Kyoto', 'paths': {'original': 'https://cdn2.civitatis.com/japon/kioto/kioto.jpg', 'thumbnail': 'https://cdn2.civitatis.com/japon/kioto/kioto-m.jpg', 'top': 'https://cdn2.civitatis.com/japon/kioto/kioto-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/japon/kioto/kioto-top-m.jpg'}}]}"
65,75,Boston,True,True,"{'header': [{'caption': 'Boston', 'paths': {'original': 'https://cdn2.civitatis.com/estados-unidos/boston/boston.jpg', 'thumbnail': 'https://cdn2.civitatis.com/estados-unidos/boston/boston-m.jpg', 'top': 'https://cdn2.civitatis.com/estados-unidos/boston/boston-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/estados-unidos/boston/boston-top-m.jpg'}}]}"
66,71,Bratislava,True,True,"{'header': [{'caption': 'Bratislava', 'paths': {'original': 'https://cdn2.civitatis.com/eslovaquia/bratislava/bratislava.jpg', 'thumbnail': 'https://cdn2.civitatis.com/eslovaquia/bratislava/bratislava-m.jpg', 'top': 'https://cdn2.civitatis.com/eslovaquia/bratislava/bratislava-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/eslovaquia/bratislava/bratislava-top-m.jpg'}}]}"
67,140,Casablanca,True,True,"{'header': [{'caption': 'Casablanca', 'paths': {'original': 'https://cdn2.civitatis.com/marruecos/casablanca/casablanca.jpg', 'thumbnail': 'https://cdn2.civitatis.com/marruecos/casablanca/casablanca-m.jpg', 'top': 'https://cdn2.civitatis.com/marruecos/casablanca/casablanca-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/marruecos/casablanca/casablanca-top-m.jpg'}}]}"
68,24,Antwerp,True,True,"{'header': [{'caption': 'Antwerp', 'paths': {'original': 'https://cdn2.civitatis.com/belgica/amberes/amberes.jpg', 'thumbnail': 'https://cdn2.civitatis.com/belgica/amberes/amberes-m.jpg', 'top': 'https://cdn2.civitatis.com/belgica/amberes/amberes-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/belgica/amberes/amberes-top-m.jpg'}}]}"
